,LINE,EXCLUDE,DEFINE,VARIANT,CLASS,SCOPE,PREFIX,STEM,SUFFIX,NOTES
0,,,"#Nouns, Proper Nouns, and Adjectives",,,,,,,
1,1,I N,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ],[STEM-NOM] [NBuff],[NSuff.XXIN],
2,2,I A,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ],[STEM-NOM] [NBuff],[NSuff.XXIA],
3,3,I G,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [PREP],[STEM-NOM] [NBuff],[NSuff.XXIG],
4,4,D N,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [ART],[STEM-NOM] [NBuff],[NSuff.XXDN],
5,5,D A,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [ART],[STEM-NOM] [NBuff],[NSuff.XXDA],
6,6,D G,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [PREP] [ART],[STEM-NOM] [NBuff],[NSuff.XXDG],
7,7,C N,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ],[STEM-NOM] [NBuff],[NSuff.XXCN] [PRON],
8,8,C A,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ],[STEM-NOM] [NBuff],[NSuff.XXCA] [PRON],
9,9,C G,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [PREP],[STEM-NOM] [NBuff],[NSuff.XXCG] [PRON],
10,10,I N,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ],[STEM-ADJ] [NBuff],[NSuff.XXIN],
11,11,I A,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ],[STEM-ADJ] [NBuff],[NSuff.XXIA],
12,12,I G,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [PREP],[STEM-ADJ] [NBuff],[NSuff.XXIG],
13,13,D N,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [ART],[STEM-ADJ] [NBuff],[NSuff.XXDN],
14,14,D A,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [ART],[STEM-ADJ] [NBuff],[NSuff.XXDA],
15,15,D G,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [PREP] [ART],[STEM-ADJ] [NBuff],[NSuff.XXDG],
16,16,C N,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ],[STEM-ADJ] [NBuff],[NSuff.XXCN] [PRON],
17,17,C A,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ],[STEM-ADJ] [NBuff],[NSuff.XXCA] [PRON],
18,18,C G,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [PREP],[STEM-ADJ] [NBuff],[NSuff.XXCG] [PRON],
19,,,#False Idafa - should be restricted to Adjectives!,,,,,,,
20,19,RED-MORPH C N,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [ART],[STEM-ADJ] [NBuff],[NSuff.XXCN],
21,20,RED-MORPH C A,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [ART],[STEM-ADJ] [NBuff],[NSuff.XXCA],
22,21,RED-MORPH C G,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [PREP] [ART],[STEM-ADJ] [NBuff],[NSuff.XXCG],
23,,,#No case specification,,,,   ,,,
24,22,I U,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [PREP],[STEM-NOM] [NBuff],[NSuff.XXIU],
25,23,D U,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [PREP] [ART],[STEM-NOM] [NBuff],[NSuff.XXDU],
26,24,C U,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [PREP],[STEM-NOM] [NBuff],[NSuff.XXCU],
27,25,I U,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [PREP],[STEM-ADJ] [NBuff],[NSuff.XXIU],
28,26,D U,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [PREP] [ART],[STEM-ADJ] [NBuff],[NSuff.XXDU],
29,27,C U,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [PREP] [ART],[STEM-ADJ] [NBuff],[NSuff.XXCU],
30,,,"#Definite without Al_det (النكرة المقصودة، المنادى), e.g., يا رجل",,,,,,,
31,28,D N,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ],[STEM-NOM] [NBuff],[NSuff.XXDN],
32,29,D A,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ],[STEM-NOM] [NBuff],[NSuff.XXDA],
33,30,D G,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [PREP],[STEM-NOM] [NBuff],[NSuff.XXDG],
